序号,项目名称,房源描述,建筑面积,户型,楼层,总层数,朝向,建筑年代,单价（元/平米）,总价（万元）,所属学校,距离学校,所在区县,学区内小区个数,普通,小班教学,区重点,体育类,艺术类,语文类,双语,科技类,名校附属,市重点,外语类
12,世纪新筑,世纪新筑 精装修 南北通套 沿河景观房 免双税,117,3室2厅,中层,15,南向,2008,40769,475,拱墅区教师进修学校附属学校,0.45km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
13,世纪新筑,京杭育才商品房 豪华装修电梯房中上楼层户型正气全明采光无遮挡,105,3室2厅,中层,22,南北向,2010,30952,325,拱墅区教师进修学校附属学校,0.45km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
14,草庄,万科草庄:89方户型可改2房 精装修 万科物业 可带车位,90,3室1厅,中层,17,南北向,2012,28889,260,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,是,是,否,是,是,否,否,否,否,否,否
15,草庄,"万科草庄,全明户型,地段,房东置换,高,",90,3室2厅,中层,16,南北向,2012,36667,330,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,是,是,否,是,是,否,否,否,否,否,否
16,西西湖,"温馨婚房,主卧朝南,户型正气,采光好,随时看房,诚心出售。",89,3室2厅,低层,22,南北向,2015,19663,175,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
17,西西湖,世茂西西湖 英式联排 开发商十周年房 现390万起!!,220,4室2厅,低层,3,南北向,2014,19545,430,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
18,草庄,万科草庄:89方户型可改2房 精装修 万科物业 可带车位,90,3室2厅,中层,16,南北向,2012,36667,330,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,是,是,否,是,是,否,否,否,否,否,否
19,草庄,小区位置 精装全明 万科打造 东边套 赠25平 急售..,132,3室2厅,低层,18,南北向,2010,42424,560,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,是,是,否,是,是,否,否,否,否,否,否
20,草庄,"60万豪华装修,满两年,房东移民美国,低价处理,价格可谈",90,3室2厅,中层,18,南北向,2015,33111,298,浙江师范大学笕桥教育集团笕桥小学,0.47km,笕桥,7个小区,是,是,否,是,是,否,否,否,否,否,否
21,西西湖,"世茂西西湖温馨小三房,户型正气,小区环境好,业主诚心置换!!",85,3室2厅,高层,18,南北向,2015,19425,165,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
22,西西湖,南湖旁法式联排别墅西西湖未来科技城板块现房在售,232,5室2厅,中层,4,南向,2017,19741,458,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
23,西西湖,世茂西西湖好房 楼层好 价格优 毛坯房 户型方正 有钥匙!,89,3室2厅,中层,15,南北向,2015,20225,180,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
24,西西湖,楼层好 采光很棒 高 成熟小区 视野开阔 双南户型,107,3室2厅,低层,23,南北向,2015,20561,220,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
25,西西湖,"世茂西西湖,3房2卫,南北通透,空气清新,,阳光",105,3室2厅,低层,23,南向,2015,16190,170,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
26,西西湖,世茂有墅一揽南湖美景轻轨双向阳台送花园露台,216,5室3厅,中层,4,西南向,2012,20833,450,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
27,西西湖,世茂有墅 一揽南湖美景 轻轨 双向阳台 送花园 露台,216,5室3厅,低层,4,南向,2017,23148,500,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
28,三里亭苑三区,三里亭新上两房 你们要的好房子来了 只为置换新房!!,58,2室2厅,中层,6,南北向,2000,32586,189,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
29,西西湖,"世茂西西湖大面积东边套,所剩不多了,朴实的价格无营业税",139,4室2厅,低层,18,南北向,2015,18705,260,余杭太炎小学(城南校区),1.03km,老余杭,11个小区,否,是,是,否,否,否,否,否,否,否,否
30,三里亭苑三区,"送阁楼 送8方储藏室 急降15万 房东置换大套,新房已看好",59,2室1厅,高层,6,南向,2000,24576,145,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
31,三里亭苑三区,"成熟小区,适合居住,出行方便,价格实惠,诚心出售可谈价,",37,1室1厅,高层,7,南北向,1996,32432,120,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
32,三里亭苑三区,20万精装修 房东置换新房 价格可谈的 衣之家800米,66,2室2厅,中层,6,南北向,2000,30303,200,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
33,三里亭苑三区,"三里亭苑高2房:清爽装修,,户型采光都好。",55,2室1厅,高层,6,南向,2000,32727,180,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
34,三里亭苑三区,"三里亭三区,毛坯修, 一梯两户,两房朝南, 赶紧点进来",58,2室1厅,中层,7,,1996,31743,185,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
35,三里亭苑三区,"三里亭特价房直降6万!首付33万,送12万精装修,诚售",60,2室1厅,中层,6,南北向,1997,28239,170,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
36,三里亭苑三区,"新上优房免双税可省8万元,15年自住18万精装婚房天杭9年制",51,2室1厅,中层,7,南向,2000,32541,167,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
37,三里亭苑三区,"3房格局,两房朝南,低于市场价3000",77,3室1厅,高层,7,,1996,31311,240,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
38,三里亭苑三区,39万首付 月供3000 可租3000 租不如买 利率9折,57,2室2厅,中层,7,东北向,1999,25789,147,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
39,三里亭苑三区,三里亭 闸弄口 小两房 158W 房东诚心出售,53,2室1厅,高层,7,,1996,29811,158,杭州天杭教育集团天杭实验学校,0.33km,三里亭,20个小区,否,是,是,否,否,否,否,否,否,否,否
40,仲外公寓,"纯边套大四房,客厅带大阳台,全明,带车位,地理位置",125,3室2厅,高层,26,南北向,2000,28000,350,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
41,仲外公寓,"中外精装三房,房东居住一年,保养好,置换大套急需用钱!!",89,3室2厅,中层,26,南北向,2013,37079,330,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
42,缤纷小区,"春波小区 架空一楼,正气三房,东边套,卫浴全明,价格可谈",81,2室2厅,低层,6,南北向,2000,30864,250,丹枫实验小学,0.78km,长河,6个小区,否,是,是,否,否,否,否,否,否,否,否
43,缤纷小区,"缤纷大4房,153方400万,带车位,家具家电全送",153,4室2厅,低层,6,南北向,2007,26144,400,丹枫实验小学,0.78km,长河,6个小区,否,是,是,否,否,否,否,否,否,否,否
44,缤纷小区,全新挂牌 缤纷小区送储藏室 丹枫实验 双 滨江核心,84,3室1厅,高层,6,南北向,2009,29167,245,丹枫实验小学,0.78km,长河,6个小区,否,是,是,否,否,否,否,否,否,否,否
45,闸弄口铁路宿舍,阳光楼层 1梯2户 40W首付 精装修 近一号线,52,2室2厅,中层,5,南北向,1990,27308,142,浙江省教育科学研究院附属实验学校,0.50km,闸弄口,14个小区,否,是,是,否,否,否,否,否,否,否,否
46,清河家园,"改善置换实用三房清清爽爽,不沿马路太阳光很好。地_口小区",73,3室2厅,高层,6,南北向,2003,34247,250,杭州市教育科学研究所附属小学,0.32km,南星,7个小区,是,是,否,否,否,否,否,是,否,否,否
47,清河家园,"清河家园,全明边套,三楼,小区无遮挡,南北通透,精装修",51,2室1厅,中层,7,南北向,2004,42009,215,杭州市教育科学研究所附属小学,0.32km,南星,7个小区,是,是,否,否,否,否,否,是,否,否,否
48,仲外公寓,德信中外公寓 自住精装40万 繁华商 带车位 395万!!,125,4室2厅,中层,21,南北向,2012,32960,412,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
49,仲外公寓,德信仲外大三房 可做四房东边套 诚心出售 你值得拥有,126,3室2厅,中层,22,南北向,2012,27826,350,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
50,仲外公寓,中外公寓户型正气、大三房 南北通透楼层好采光佳,89,3室2厅,高层,11,南北向,2012,39326,350,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
51,仲外公寓,仲外公寓125方大三房 客厅带阳台 精装全送外加一个车位,125,3室2厅,高层,30,南向,2012,34000,425,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
52,仲外公寓,中外公寓 大三房 双阳台 送自住精装35万 送车位 保养好,89,3室2厅,中层,26,南北向,2013,37079,330,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
53,仲外公寓,"中外公寓精美洋房,豪华装修,满两年,490万房东诚心出售",135,3室2厅,中层,6,南向,2012,36296,490,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
54,仲外公寓,"中外公寓,2房精致户型,小区中间位置,好楼层,你来就可以看房",70,2室1厅,中层,26,南北向,2012,30216,210,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
55,仲外公寓,房东诚心卖房东诚心卖 价格实惠低于市场价 你确定不来看看?,69,2室1厅,低层,26,南北向,2012,30725,212,下沙经济开发区学林街小学,0.53km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
56,荷花塘小区,"低总价!无营业税 无贷款可带 荷花塘小区,诚心出售!",61,2室1厅,低层,6,南北向,2000,13839,85,余杭育才实验小学,0.59km,余杭,7个小区,否,是,是,否,否,否,是,否,否,否,否
57,荷花塘小区,"无营业税 无贷款可带 荷花塘小区,诚心出售",61,2室1厅,低层,6,南北向,2000,10908,67,余杭育才实验小学,0.59km,余杭,7个小区,否,是,是,否,否,否,是,否,否,否,否
58,荷花塘小区,"万宝城旁,低总价!精装修 位置好 荷花塘小区,诚心出售!",60,2室1厅,高层,6,南北向,2000,15000,90,余杭育才实验小学,0.59km,余杭,7个小区,否,是,是,否,否,否,是,否,否,否,否
59,荷花塘小区,"60方105万,送全新精装。满5年就一套。送房。",60,2室2厅,低层,6,南北向,2000,17500,105,余杭育才实验小学,0.59km,余杭,7个小区,否,是,是,否,否,否,是,否,否,否,否
60,荷花塘小区,荷花塘小区 房东诚心出售 看房提前联系,62,2室2厅,低层,6,南北向,1999,15323,95,余杭育才实验小学,0.59km,余杭,7个小区,否,是,是,否,否,否,是,否,否,否,否
61,清河家园,"清河家园精装一房,可改两房,楼层好",34,1室1厅,中层,6,南北向,2003,42647,145,杭州市教育科学研究所附属小学,0.32km,南星,7个小区,是,是,否,否,否,否,否,是,否,否,否
62,清河家园,清河家园 楼层 口 主卧朝南,46,2室1厅,中层,7,南北向,2003,42735,195,杭州市教育科学研究所附属小学,0.32km,南星,7个小区,是,是,否,否,否,否,否,是,否,否,否
63,荷花塘小区,"临平城区精装修2房,自住皆可",60,2室1厅,低层,6,南北向,1999,18333,110,余杭育才实验小学,0.59km,余杭,7个小区,否,是,是,否,否,否,是,否,否,否,否
64,荷花塘小区,临平公园旁 周边配套齐全 满二 一次性付款,64,1室0厅,高层,6,南北向,1999,14844,95,余杭育才实验小学,0.59km,余杭,7个小区,否,是,是,否,否,否,是,否,否,否,否
65,荷花塘小区,"无营业税 无贷款可带 荷花塘小区,诚心出售",61,2室1厅,低层,6,南北向,2000,13839,85,余杭育才实验小学,0.59km,余杭,7个小区,否,是,是,否,否,否,是,否,否,否,否
66,湖畔莲花港家园,"小区里面位置,不沿马路楼层又好,东边套全明户型,业主诚心出售",112,3室2厅,中层,7,南北向,2001,36938,415,杭州市翠苑第一小学文华校区,0.67km,西湖,16个小区,否,是,是,否,否,否,否,否,否,否,否
67,翰林花园,房源翰林花园 热门小区 边套电梯 贴沙河景 清爽精装,127,3室2厅,中层,18,南北向,2000,45669,580,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
68,翰林花园,"翰林花园 03年小两房,南北通透,,房东诚心出售",46,2室1厅,高层,7,南北向,2003,41066,188,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
69,翰林花园,"翰林花园,采光好,小区环境好,房东诚心出售。",127,3室2厅,高层,18,南北向,2002,39370,500,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
70,翰林花园,"庆春路,浙一,金融街,小区环境,4房2,双卫东边套小区新",151,4室2厅,低层,18,南北向,2010,36450,550,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
71,翰林花园,翰林花园 新出小户型 两房中间楼层 有钥匙,68,2室1厅,高层,6,南北向,2002,38235,260,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
72,翰林花园,"市,翰林花园,带院子,精装修,配套齐全,",193,4室2厅,低层,7,南北向,2004,44041,850,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
73,翰林花园,翰林花园 新出 3房户型 南北通透 采光阳光好 全明边套,129,3室2厅,高层,18,南北向,2002,39689,510,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
74,湖畔莲花港家园,"湖畔莲花港 惊现大套2室 房东诚售!南北通透,",97,2室2厅,中层,6,南北向,2000,34021,330,杭州市翠苑第一小学文华校区,0.67km,西湖,16个小区,否,是,是,否,否,否,否,否,否,否,否
75,湖畔莲花港家园,"重返小资情调,温馨欧式婚房装全配全送!看了喜欢一切都好谈!!",116,3室2厅,中层,11,南北向,2000,30690,356,杭州市翠苑第一小学文华校区,0.67km,西湖,16个小区,否,是,是,否,否,否,否,否,否,否,否
76,湖畔莲花港家园,"12年30多万婚房小两房,全明通透,业主急售,南北通厅 !",90,2室2厅,中层,6,南北向,2000,30000,270,杭州市翠苑第一小学文华校区,0.67km,西湖,16个小区,否,是,是,否,否,否,否,否,否,否,否
77,翰林花园,"3室,南朝向超好户型,房主直降850万元,真急了!",193,3室3厅,低层,7,南向,2002,44041,850,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
78,翰林花园,翰林花园 双卧朝南 跃层式送阁楼 单价实惠 首付3成,83,2室2厅,高层,6,南向,2004,37161,310,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
79,翰林花园,翰林花园 小户型 3房 西边套 得房 可以看房 !,67,3室1厅,高层,6,南北向,2000,43886,295,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
80,翰林花园,"年代新,有阁楼,户型好,随时可以看房!!",77,3室2厅,高层,6,南北向,2004,41558,320,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
81,翰林花园,精装3房 电梯房 中间楼层 南北通透 户型正气,104,3室2厅,中层,18,南北向,2002,40062,416,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
82,翰林花园,翰林花园 小越层 单价仅需38000给予您品质生活!!!!!,83,2室2厅,高层,6,南向,2010,37161,310,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
83,翰林花园,翰林花园02年新房 一梯两户 全明户型 附送50万精装修诚售,81,2室2厅,高层,6,南北向,2004,46995,380,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
84,翰林花园,翰林花园 02年新房 全明西边套 精装修直接 有钥匙,128,3室2厅,高层,18,南北向,2002,39062,500,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
85,星河景庭,"星河景庭,自住精装修南北通透,双金山,双,户型方正",118,3室2厅,中层,17,南北向,2008,25424,300,萧山区湖滨小学,1.93km,萧山,5个小区,是,否,否,否,是,否,否,否,否,否,否
86,闸弄口新苑,"房东上门挂牌,运河畔 一梯两户 全明东边套 出售 可谈",83,3室2厅,高层,6,南北向,1999,24337,202,浙江省教育科学研究院附属实验学校,0.76km,闸弄口,14个小区,否,是,是,否,否,否,否,否,否,否,否
87,闸弄口新苑,"永济桥农民房,.房子楼层好,采光度好,四周通风,诚心出售",45,2室1厅,中层,6,南向,1999,30000,135,浙江省教育科学研究院附属实验学校,0.76km,闸弄口,14个小区,否,是,是,否,否,否,否,否,否,否,否
88,星河景庭,"滨康双口400米,35万精装大三房,东边套带两阳台,诚售",139,3室2厅,高层,17,南北向,2010,25180,350,萧山区湖滨小学,1.93km,萧山,5个小区,是,否,否,否,是,否,否,否,否,否,否
89,翰林花园,新上好房源翰林花园 中间楼层三房朝南 一梯两户 正气户型,121,3室2厅,中层,12,南北向,2003,43940,530,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
90,翰林花园,"两房朝南,一房朝西,看房提前联系,房东诚心出售",128,3室2厅,低层,18,南北向,2002,42188,540,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
91,翰林花园,"翰林花园!两房朝南,采光好,得房!",44,2室1厅,低层,7,南北向,2010,42948,190,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
92,翰林花园,翰林花园 新出 3房户型 南北通透 采光阳光好 全明西边套,127,3室2厅,中层,18,南北向,2002,40000,508,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
93,翰林花园,"新出好房,婚房精装,3房朝南,房东置换,诚售",127,3室2厅,高层,18,南北向,2002,45512,578,杭州市大学路小学,0.57km,上城,12个小区,否,是,是,否,否,否,是,否,是,否,否
94,大关西七苑,"首付39万,离欧尚水晶城都只有百米之遥,生活购物!!",54,2室1厅,高层,6,南北向,1970,29412,160,杭州市大关苑第一小学,0.19km,大关,8个小区,是,是,否,否,否,否,否,否,否,否,否
95,城市心境,"50万级豪华精装修,大四房,西边套,公园级小区环境,诚心出售",150,4室1厅,中层,18,南北向,2001,30054,450,省府路小学秋水苑校区,0.82km,西湖,16个小区,否,是,是,否,否,否,是,否,否,否,否
96,城市心境,"人车分流,送33W精装修!全明三房两卫,公园级小区,看房方便",120,3室2厅,低层,13,南北向,2010,28333,340,省府路小学秋水苑校区,0.82km,西湖,16个小区,否,是,是,否,否,否,是,否,否,否,否
97,城市心境,"城市心境,全明经典户型,电梯房上部,诚心出售,价格可谈",139,3室2厅,高层,13,南北向,2010,35932,500,省府路小学秋水苑校区,0.82km,西湖,16个小区,否,是,是,否,否,否,是,否,否,否,否
98,城市心境,城市心境 人车分流 电梯大3房 楼层 口,155,4室2厅,高层,16,南北向,2001,30323,470,省府路小学秋水苑校区,0.82km,西湖,16个小区,否,是,是,否,否,否,是,否,否,否,否
99,城市心境,城西不多的人车分流小区 朝南送60方露台 双卫明 飞机户型,138,3室2厅,低层,12,南北向,2001,33913,468,省府路小学秋水苑校区,0.82km,西湖,16个小区,否,是,是,否,否,否,是,否,否,否,否
100,城市心境,城市心境 小区新 2室2厅 地段好环境佳,99,2室2厅,低层,20,南北向,2010,35275,350,省府路小学秋水苑校区,0.82km,西湖,16个小区,否,是,是,否,否,否,是,否,否,否,否
101,大关西七苑,"新挂牌!业主换房急降10万,16万精装修送!免双税,随时看房",60,2室1厅,高层,6,南北向,1995,24370,145,杭州市大关苑第一小学,0.19km,大关,8个小区,是,是,否,否,否,否,否,否,否,否,否
102,大关西七苑,水晶城旁房东2年内18万精装修换房诚心出售一梯两户,58,2室1厅,中层,6,南向,1995,25517,148,杭州市大关苑第一小学,0.19km,大关,8个小区,是,是,否,否,否,否,否,否,否,否,否
103,大关西七苑,"新出好房,精装修,,好房诚心卖,看房方便",40,1室1厅,低层,6,南北向,1995,31376,125,杭州市大关苑第一小学,0.19km,大关,8个小区,是,是,否,否,否,否,否,否,否,否,否
104,大关西七苑,水晶城旁精装通透两房 15万精装 置换大套急卖 满五年可谈价,54,2室1厅,高层,6,南北向,1996,23897,130,杭州市大关苑第一小学,0.19km,大关,8个小区,是,是,否,否,否,否,否,否,否,否,否
105,大关西七苑,"未来口,水晶城旁,首付51万,沿河景观房,中间楼层西边套",69,2室2厅,中层,6,南北向,1994,24638,170,杭州市大关苑第一小学,0.19km,大关,8个小区,是,是,否,否,否,否,否,否,否,否,否
106,田园牧歌,"田园牧歌法式大平层 开发商装修,软装亲自挑选,汗水出好房",240,5室2厅,高层,4,南北向,2015,45833,1100,省教科院附属小学(田园校区),0.24km,半山,5个小区,是,否,否,否,否,否,否,是,否,否,否
107,南肖埠文景苑,滨江房产 户型正气 西边套 房东诚心买 楼层好 位置好 !!,144,3室1厅,高层,18,南北向,2005,43902,630,杭州凯旋教育集团南肖埠小学,0.51km,采荷,18个小区,否,是,是,是,否,否,否,否,否,否,否
108,湖墅新村,卖小本部2房朝南、正气户型南北通透、3楼采光好、公园旁环境好,90,2室2厅,中层,7,南向,1997,26816,240,卖鱼桥小学湖墅霞湾校区,0.11km,和睦,16个小区,是,是,否,否,否,否,是,否,否,否,否
109,湖墅新村,"湖墅新村 精装修, 2室1厅, 57m? 中层",57,2室1厅,中层,7,南北向,2000,40702,232,卖鱼桥小学湖墅霞湾校区,0.11km,和睦,16个小区,是,是,否,否,否,否,是,否,否,否,否
110,湖墅新村,湖墅新村 两房朝南 厅朝北 全明户型,55,2室1厅,高层,7,南北向,1997,36105,198,卖鱼桥小学湖墅霞湾校区,0.11km,和睦,16个小区,是,是,否,否,否,否,是,否,否,否,否
111,湖墅新村,全明西边套 两房朝南 南北通透 采光好 公园边 房东诚心出售,62,2室1厅,低层,7,南向,1997,25736,160,卖鱼桥小学湖墅霞湾校区,0.11km,和睦,16个小区,是,是,否,否,否,否,是,否,否,否,否
112,田园牧歌,"田园牧歌麓云苑,山景房,看房方便,楼层好。",88,2室2厅,中层,15,南北向,2013,43182,380,省教科院附属小学(田园校区),0.24km,半山,5个小区,是,否,否,否,否,否,否,是,否,否,否
113,田园牧歌,田园牧歌 麓云苑!!!199方 725万 心动吗?真实存在,199,4室2厅,高层,4,南北向,2010,36432,725,省教科院附属小学(田园校区),0.24km,半山,5个小区,是,否,否,否,否,否,否,是,否,否,否
114,南肖埠文景苑,"新上—滨江品质,送70万装修,口,出国定居诚心出售随时看",119,3室2厅,高层,9,南北向,2004,42017,500,杭州凯旋教育集团南肖埠小学,0.51km,采荷,18个小区,否,是,是,是,否,否,否,否,否,否,否
115,湖墅新村,"卖鱼桥25号新挂牌房源,格局正气有院子 ,请看完这套再决定吧",43,2室1厅,低层,7,南北向,1997,30233,130,卖鱼桥小学湖墅霞湾校区,0.11km,和睦,16个小区,是,是,否,否,否,否,是,否,否,否,否
116,湖墅新村,湖墅新村 卖小 配套成熟 采光好 2003年房龄,56,2室1厅,中层,6,南向,1997,22361,125,卖鱼桥小学湖墅霞湾校区,0.11km,和睦,16个小区,是,是,否,否,否,否,是,否,否,否,否
117,湖墅新村,卖小本部28万精装修新房 2003年房龄 结构,79,3室2厅,高层,6,南北向,2003,32197,254,卖鱼桥小学湖墅霞湾校区,0.11km,和睦,16个小区,是,是,否,否,否,否,是,否,否,否,否
118,田园牧歌,田园牧歌 纯边套大户型 客厅大的可荡秋千 无营业税,163,3室2厅,中层,17,南向,2014,30025,490,省教科院附属小学(田园校区),0.24km,半山,5个小区,是,否,否,否,否,否,否,是,否,否,否
119,田园牧歌,田园牧歌83方240万三开间朝南主卧带阳台房东诚售,84,2室2厅,低层,17,南北向,2016,28708,240,省教科院附属小学(田园校区),0.24km,半山,5个小区,是,否,否,否,否,否,否,是,否,否,否
120,南肖埠文景苑,南肖埠文景苑 三房朝南 滨江房产 滨江物业 装修清爽交通便捷,133,3室2厅,中层,7,南北向,2004,50210,670,杭州凯旋教育集团南肖埠小学,0.51km,采荷,18个小区,否,是,是,是,否,否,否,否,否,否,否
121,湖墅新村,"湖墅新村:卖鱼桥,2015年20万婚房装修全送,税。",60,2室1厅,中层,6,南向,1997,34167,205,卖鱼桥小学湖墅霞湾校区,0.11km,和睦,16个小区,是,是,否,否,否,否,是,否,否,否,否
